Time, 0.1231746, Position, (-7.65, 0.00, -41.65), Velocity, 2297.121, Acceleration, 16781.47, AngleX, -0.01172019, AngleY, 45.00456, AngleZ, 90.01173
Time, 0.2244527, Position, (-7.37, 0.00, -41.37), Velocity, 1895.406, Acceleration, -82189.3, AngleX, -0.01294572, AngleY, 44.99734, AngleZ, 90.01295
Time, 0.3268569, Position, (-7.08, 0.00, -41.08), Velocity, 2102.982, Acceleration, 117985.8, AngleX, -0.01434619, AngleY, 45.00313, AngleZ, 90.01434
Time, 0.4296244, Position, (-6.78, 0.00, -40.78), Velocity, 2028.825, Acceleration, 79042.62, AngleX, -0.01602516, AngleY, 45, AngleZ, 90.01603
Time, 0.5319234, Position, (-6.50, 0.00, -40.50), Velocity, 1863.024, Acceleration, 28135.53, AngleX, -0.01807097, AngleY, 45.00318, AngleZ, 90.01807
Time, 0.6327725, Position, (-6.21, 0.00, -40.21), Velocity, 1658.709, Acceleration, 24722.67, AngleX, -0.02066774, AngleY, 44.99696, AngleZ, 90.02067
Time, 0.7342062, Position, (-5.92, 0.00, -39.92), Velocity, 1577.048, Acceleration, 6796.431, AngleX, -0.02399974, AngleY, 44.99843, AngleZ, 90.02399
Time, 0.8351583, Position, (-5.64, 0.00, -39.64), Velocity, 1525.358, Acceleration, 10287.54, AngleX, -0.02835074, AngleY, 45.00166, AngleZ, 90.02836
Time, 0.9377855, Position, (-5.35, 0.00, -39.35), Velocity, 1256.021, Acceleration, -43012.02, AngleX, -0.03422203, AngleY, 44.997, AngleZ, 90.03423
Time, 1.038923, Position, (-5.06, 0.00, -39.06), Velocity, 983.462, Acceleration, -9917.665, AngleX, -0.042383, AngleY, 44.99216, AngleZ, 90.04237
Time, 1.139949, Position, (-4.78, 0.00, -38.78), Velocity, 725.951, Acceleration, -4770.553, AngleX, -0.05446035, AngleY, 45, AngleZ, 90.05446
Time, 1.248764, Position, (-4.47, 0.00, -38.47), Velocity, 301.0337, Acceleration, -56815.17, AngleX, -0.07609265, AngleY, 44.99691, AngleZ, 90.07609
Time, 1.351196, Position, (-4.18, 0.00, -38.18), Velocity, 678.3499, Acceleration, 25105.44, AngleX, -0.1038598, AngleY, 44.99863, AngleZ, 90.10386
Time, 1.451758, Position, (-3.89, 0.00, -37.89), Velocity, 470.0904, Acceleration, 11222.61, AngleX, -0.1463754, AngleY, 44.99486, AngleZ, 90.14635
Time, 1.554859, Position, (-3.60, 0.00, -37.60), Velocity, 505.7426, Acceleration, -4619.284, AngleX, -0.2208144, AngleY, 44.99767, AngleZ, 90.22079
Time, 1.655023, Position, (-3.32, 0.00, -37.32), Velocity, 362.7706, Acceleration, 2683.459, AngleX, -0.3453894, AngleY, 44.99477, AngleZ, 90.34532
Time, 1.756679, Position, (-3.03, 0.00, -37.03), Velocity, 277.1213, Acceleration, 6183.594, AngleX, -0.4824248, AngleY, 44.99561, AngleZ, 90.48235
Time, 1.857501, Position, (-2.75, 0.00, -36.75), Velocity, 134.0885, Acceleration, 6707.771, AngleX, -0.8174903, AngleY, 44.9964, AngleZ, 90.81738
Time, 1.959756, Position, (-2.50, 0.00, -36.44), Velocity, 7869.572, Acceleration, -1500.261, AngleX, 0, AngleY, 87.27399, AngleZ, 90
Time, 2.061461, Position, (-2.48, 0.01, -36.04), Velocity, 7609.161, Acceleration, -12942.49, AngleX, -0.01788043, AngleY, 87.27333, AngleZ, 90.37543
Time, 2.163466, Position, (-2.46, 0.01, -35.63), Velocity, 6404.968, Acceleration, -232139.7, AngleX, -0.02496504, AngleY, 87.27343, AngleZ, 90.5242
Time, 2.265679, Position, (-2.44, 0.01, -35.22), Velocity, 6554.883, Acceleration, -202209, AngleX, -0.02263062, AngleY, 87.27407, AngleZ, 90.4753
Time, 2.366868, Position, (-2.42, 0.01, -34.82), Velocity, 7127.786, Acceleration, 418119.7, AngleX, -0.01853047, AngleY, 87.27351, AngleZ, 90.38911
Time, 2.467042, Position, (-2.40, 0.00, -34.42), Velocity, 7039.479, Acceleration, 194738.8, AngleX, -0.01487893, AngleY, 87.27598, AngleZ, 90.31271
Time, 2.569822, Position, (-2.38, 0.01, -34.01), Velocity, 5824.779, Acceleration, -258582.9, AngleX, -0.01611122, AngleY, 87.27711, AngleZ, 90.33876
Time, 2.671627, Position, (-2.36, 0.00, -33.60), Velocity, 5842.023, Acceleration, -332056.3, AngleX, -0.01471109, AngleY, 87.27584, AngleZ, 90.30917
Time, 2.772749, Position, (-2.34, 0.00, -33.20), Velocity, 5880.528, Acceleration, -71976.88, AngleX, -0.01432708, AngleY, 87.27606, AngleZ, 90.30112
Time, 2.873701, Position, (-2.32, 0.00, -32.79), Velocity, 5328.851, Acceleration, -47956.12, AngleX, -0.0148838, AngleY, 87.27609, AngleZ, 90.31284
Time, 2.974026, Position, (-2.30, 0.00, -32.39), Velocity, 5157.059, Acceleration, 105902.5, AngleX, -0.0164729, AngleY, 87.27542, AngleZ, 90.34615
Time, 3.075293, Position, (-2.28, 0.00, -31.99), Velocity, 5407.33, Acceleration, -29662.04, AngleX, -0.017335, AngleY, 87.2756, AngleZ, 90.36429
Time, 3.177191, Position, (-2.27, 0.01, -31.58), Velocity, 5421.903, Acceleration, 715426.6, AngleX, -0.01813638, AngleY, 87.27648, AngleZ, 90.38125
Time, 3.279043, Position, (-2.25, 0.00, -31.17), Velocity, 5253.204, Acceleration, -175577.7, AngleX, -0.01751767, AngleY, 87.27657, AngleZ, 90.36826
Time, 3.380586, Position, (-2.23, 0.00, -30.77), Velocity, 5658.516, Acceleration, 35339.83, AngleX, -0.01748899, AngleY, 87.27615, AngleZ, 90.3676
Time, 3.485307, Position, (-2.21, 0.00, -30.35), Velocity, 2766.938, Acceleration, -152942.5, AngleX, -0.01878625, AngleY, 87.27604, AngleZ, 90.39485
Time, 3.586321, Position, (-2.19, 0.01, -29.95), Velocity, 4820.519, Acceleration, 22775.67, AngleX, -0.01996158, AngleY, 87.27618, AngleZ, 90.41957
Time, 3.686704, Position, (-2.17, 0.00, -29.54), Velocity, 4144.347, Acceleration, -81049.55, AngleX, -0.02033543, AngleY, 87.27579, AngleZ, 90.42737
Time, 3.787748, Position, (-2.15, 0.01, -29.14), Velocity, 4927.065, Acceleration, 161224.5, AngleX, -0.02138314, AngleY, 87.27579, AngleZ, 90.44939
Time, 3.888294, Position, (-2.13, 0.00, -28.74), Velocity, 4299.217, Acceleration, 78179.07, AngleX, -0.02075296, AngleY, 87.27643, AngleZ, 90.43624
Time, 3.990398, Position, (-2.11, 0.00, -28.33), Velocity, 4701.879, Acceleration, 35219.39, AngleX, -0.02151227, AngleY, 87.2763, AngleZ, 90.45218
Time, 4.090609, Position, (-2.09, 0.01, -27.93), Velocity, 4093.526, Acceleration, 18415.15, AngleX, -0.0238118, AngleY, 87.27657, AngleZ, 90.50056
Time, 4.193609, Position, (-2.07, 0.00, -27.52), Velocity, 1295.602, Acceleration, -248245.5, AngleX, -0.02348574, AngleY, 87.27636, AngleZ, 90.49368
Time, 4.295565, Position, (-2.05, 0.01, -27.11), Velocity, 3786.198, Acceleration, -62691.17, AngleX, -0.0247738, AngleY, 87.27655, AngleZ, 90.52078
Time, 4.397056, Position, (-2.03, 0.00, -26.71), Velocity, 4043.953, Acceleration, 63305.23, AngleX, -0.02506484, AngleY, 87.27662, AngleZ, 90.52691
Time, 4.49858, Position, (-2.01, 0.00, -26.30), Velocity, 3834.581, Acceleration, 60557.23, AngleX, -0.02515421, AngleY, 87.2768, AngleZ, 90.52883
Time, 4.60077, Position, (-1.99, 0.01, -25.89), Velocity, 3846.192, Acceleration, -19715.83, AngleX, -0.02760166, AngleY, 87.27639, AngleZ, 90.58019
Time, 4.703835, Position, (-1.97, 0.01, -25.48), Velocity, 2992.053, Acceleration, -115105.8, AngleX, -0.02873727, AngleY, 87.27631, AngleZ, 90.60404
Time, 4.806206, Position, (-1.96, 0.00, -25.07), Velocity, 2938.647, Acceleration, -87173.46, AngleX, -0.0297986, AngleY, 87.276, AngleZ, 90.62627
Time, 4.912977, Position, (-1.94, 0.01, -24.65), Velocity, 1016.648, Acceleration, -170839.8, AngleX, -0.03184205, AngleY, 87.27642, AngleZ, 90.66933
Time, 5.013618, Position, (-1.92, 0.00, -24.24), Velocity, 3000.992, Acceleration, -66860.84, AngleX, -0.03150666, AngleY, 87.27622, AngleZ, 90.66222
Time, 5.115252, Position, (-1.90, 0.00, -23.84), Velocity, 2371.648, Acceleration, -2045.784, AngleX, -0.0333255, AngleY, 87.27643, AngleZ, 90.70051
