Time,,,X,Z,, Velocity,, Acceleration,, AngleX,, AngleY,, AngleZ,, AngularSpeed
0.1204851,, Position, (-7.65, -41.62),,2116.727,,-83164.54,,-0.1073713,,44.81607,,90.10668,,1890.855
0.2218903,, Position, (-7.35, -41.28),,1850.444,,15022,,-0.05372152,,44.61602,,90.05301,,1673.941
0.3245773,, Position, (-7.01, -40.90),,1878.301,,-31080.64,,-0.05914878,,44.31001,,90.05774,,1726.951
0.4274796,, Position, (-6.64, -40.49),,1933.078,,64739.98,,-0.07801318,,43.94511,,90.07519,,1809.749
0.5278596,, Position, (-6.25, -40.07),,1558.494,,38277.7,,-0.08399728,,43.63309,,90.08008,,1484.02
0.628934,, Position, (-5.82, -39.63),,1428.553,,22190.82,,-0.1137984,,43.2748,,90.10714,,1386.13
0.7305806,, Position, (-5.36, -39.16),,1323.125,,48694.41,,-0.1178755,,42.94364,,90.1097,,1308.472
0.8330157,, Position, (-4.86, -38.67),,1072.562,,-12935.97,,-0.1648563,,42.5706,,90.15144,,1082.139
0.934292,, Position, (-4.33, -38.16),,770.0862,,2104.706,,-0.1937019,,42.17851,,90.17551,,792.8016
1.036,, Position, (-3.77, -37.63),,482.7532,,-10089.45,,-0.3162125,,41.63656,,90.28111,,508.0281
1.137078,, Position, (-3.17, -37.08),,238.4939,,-6855.039,,-0.553694,,40.7558,,90.4772,,256.6844
1.238993,, Position, (-2.53, -36.52),,14.87478,,-1004.634,,-6.090313,,34.17067,,94.14282,,14.87779
1.340709,, Position, (-2.40, -36.45),,40.76942,,8072.647,,-163.5858,,-152.8647,,-98.58545,,49.59716
1.4423,, Position, (-2.38, -36.45),,43.42801,,6864.712,,-161.8637,,-154.6618,,-98.81637,,53.59129
1.542411,, Position, (-2.40, -36.45),,43.89807,,7075.852,,-164.4859,,-152.9283,,-98.07502,,53.80453
1.643702,, Position, (-2.46, -36.48),,16.91405,,-2017.772,,-158.3795,,-152.0514,,-101.8753,,17.13456
1.744253,, Position, (-2.26, -36.01),,6541.644,,-294662.9,,-0.1036259,,87.89169,,92.81263,,619.5533
1.846957,, Position, (-1.98, -35.51),,7386.551,,339268.3,,-0.09093432,,88.61963,,93.76829,,860.6483
1.947659,, Position, (-1.75, -34.99),,6998.868,,302453.8,,-0.05291095,,89.26367,,94.10986,,955.868
2.049121,, Position, (-1.56, -34.45),,7036.466,,34068.16,,-0.02647781,,89.805,,97.73244,,1086.359
2.149947,, Position, (-1.45, -33.91),,4287.55,,-303632.4,,-0.02697268,,90.16761,,-99.14211,,718.0219
2.251488,, Position, (-1.39, -33.35),,6381.763,,82765.69,,-0.03522065,,90.3577,,-95.62351,,1123.128
2.35443,, Position, (-1.37, -32.76),,5381.396,,-251652.1,,-0.03099294,,90.42742,,-94.14729,,975.269
2.455328,, Position, (-1.39, -32.17),,5993.958,,93437.33,,-0.02750411,,90.37079,,-94.24228,,1095.708
2.557898,, Position, (-1.44, -31.54),,5827.708,,45830.8,,-0.01507154,,90.21123,,-94.08127,,1057.216
2.659867,, Position, (-1.50, -30.87),,5405.392,,421825,,-0.0238178,,90.01006,,-157.1106,,966.5359
2.761084,, Position, (-1.56, -30.11),,5075.962,,161785.7,,-0.02486604,,89.78122,,96.48424,,892.0799
2.862146,, Position, (-1.59, -29.36),,4918.922,,-100016.1,,-0.02411095,,89.61917,,93.62263,,859.4517
2.963392,, Position, (-1.63, -28.57),,3877.592,,-36487.05,,-0.02675672,,89.44776,,92.77379,,672.7626
3.065745,, Position, (-1.65, -27.74),,4049.921,,-62668.01,,-0.02112181,,89.31527,,91.76675,,704.4841
3.166457,, Position, (-1.66, -26.88),,3746.397,,92633.51,,-0.03199459,,89.17256,,92.21419,,652.5346
3.266653,, Position, (-1.67, -25.98),,3812.278,,268856.3,,-0.0392089,,89.04812,,92.35851,,668.8259
3.367097,, Position, (-1.68, -25.03),,3439.669,,75529.98,,-0.0450653,,88.9461,,92.44823,,612.0714
3.468343,, Position, (-1.68, -24.05),,2942.983,,141039.6,,-0.06937105,,88.82748,,93.38545,,530.5764
3.568526,, Position, (-1.67, -23.05),,2702.202,,114089.7,,-0.01751174,,88.71026,,90.77777,,494.4035
3.670103,, Position, (-1.66, -21.97),,2045.678,,-61413.2,,-0.103418,,88.57858,,94.16046,,380.2585
3.772023,, Position, (-1.65, -20.88),,1868.871,,-2993.228,,-0.0273152,,88.41073,,90.98441,,350.3946
3.874107,, Position, (-1.64, -19.73),,1481.723,,8067.675,,-0.1807821,,88.16409,,95.62187,,275.6674
3.976691,, Position, (-1.62, -18.56),,1144.116,,22988.24,,-0.03945811,,87.81423,,91.03371,,204.4882
4.078191,, Position, (-1.60, -17.33),,663.662,,11819.64,,-0.4740393,,86.84641,,98.54023,,91.3851
4.179693,, Position, (-1.55, -16.09),,225.7801,,-124.1605,,-0.07339661,,84.97964,,90.83545,,0
4.282617,, Position, (-1.45, -15.14),,109.7457,,9278.571,,-176.6451,,-97.28268,,-114.6411,,26.16129
4.385302,, Position, (-1.39, -14.69),,265.7774,,-11555.25,,-177.9677,,-97.53316,,-105.0204,,50.6931
