Time, 0.1204851, Position, (-7.65, 0.01, -41.62), Velocity, 2116.727, Acceleration, -83164.54, AngleX, -0.1073713, AngleY, 44.81607, AngleZ, 90.10668, AngularSpeed, 1890.855
Time, 0.2218903, Position, (-7.35, 0.00, -41.28), Velocity, 1850.444, Acceleration, 15022, AngleX, -0.05372152, AngleY, 44.61602, AngleZ, 90.05301, AngularSpeed, 1673.941
Time, 0.3245773, Position, (-7.01, 0.00, -40.90), Velocity, 1878.301, Acceleration, -31080.64, AngleX, -0.05914878, AngleY, 44.31001, AngleZ, 90.05774, AngularSpeed, 1726.951
Time, 0.4274796, Position, (-6.64, 0.01, -40.49), Velocity, 1933.078, Acceleration, 64739.98, AngleX, -0.07801318, AngleY, 43.94511, AngleZ, 90.07519, AngularSpeed, 1809.749
Time, 0.5278596, Position, (-6.25, 0.01, -40.07), Velocity, 1558.494, Acceleration, 38277.7, AngleX, -0.08399728, AngleY, 43.63309, AngleZ, 90.08008, AngularSpeed, 1484.02
Time, 0.628934, Position, (-5.82, 0.01, -39.63), Velocity, 1428.553, Acceleration, 22190.82, AngleX, -0.1137984, AngleY, 43.2748, AngleZ, 90.10714, AngularSpeed, 1386.13
Time, 0.7305806, Position, (-5.36, 0.01, -39.16), Velocity, 1323.125, Acceleration, 48694.41, AngleX, -0.1178755, AngleY, 42.94364, AngleZ, 90.1097, AngularSpeed, 1308.472
Time, 0.8330157, Position, (-4.86, 0.01, -38.67), Velocity, 1072.562, Acceleration, -12935.97, AngleX, -0.1648563, AngleY, 42.5706, AngleZ, 90.15144, AngularSpeed, 1082.139
Time, 0.934292, Position, (-4.33, 0.01, -38.16), Velocity, 770.0862, Acceleration, 2104.706, AngleX, -0.1937019, AngleY, 42.17851, AngleZ, 90.17551, AngularSpeed, 792.8016
Time, 1.036, Position, (-3.77, 0.01, -37.63), Velocity, 482.7532, Acceleration, -10089.45, AngleX, -0.3162125, AngleY, 41.63656, AngleZ, 90.28111, AngularSpeed, 508.0281
Time, 1.137078, Position, (-3.17, 0.01, -37.08), Velocity, 238.4939, Acceleration, -6855.039, AngleX, -0.553694, AngleY, 40.7558, AngleZ, 90.4772, AngularSpeed, 256.6844
Time, 1.238993, Position, (-2.53, 0.00, -36.52), Velocity, 14.87478, Acceleration, -1004.634, AngleX, -6.090313, AngleY, 34.17067, AngleZ, 94.14282, AngularSpeed, 14.87779
Time, 1.340709, Position, (-2.40, 0.02, -36.45), Velocity, 40.76942, Acceleration, 8072.647, AngleX, -163.5858, AngleY, -152.8647, AngleZ, -98.58545, AngularSpeed, 49.59716
