Time, 0.1206666, Position, (-7.66, 0.01, -41.65), Velocity, 4.404386, Acceleration, -134.0704, AngleX, -0.07077462, AngleY, 44.97266, AngleZ, 90.07071, AngularSpeed, 5.738996
Time, 0.2213898, Position, (-7.37, 0.01, -41.36), Velocity, 4.606575, Acceleration, -40.09879, AngleX, -0.08712876, AngleY, 44.93294, AngleZ, 90.08692, AngularSpeed, 6.378931
Time, 0.3217597, Position, (-7.07, 0.01, -41.06), Velocity, 5.463651, Acceleration, 290.7495, AngleX, -0.09125138, AngleY, 44.88843, AngleZ, 90.0909, AngularSpeed, 5.922846
Time, 0.4224496, Position, (-6.78, 0.01, -40.75), Velocity, 5.617576, Acceleration, 400.1929, AngleX, -0.103499, AngleY, 44.84181, AngleZ, 90.10293, AngularSpeed, 0
Time, 0.5256414, Position, (-6.47, 0.01, -40.44), Velocity, 3.640197, Acceleration, -692.4755, AngleX, -0.1227045, AngleY, 44.7977, AngleZ, 90.12184, AngularSpeed, 5.171358
Time, 0.6262534, Position, (-6.16, 0.01, -40.13), Velocity, 3.527847, Acceleration, -790.3481, AngleX, -0.1287621, AngleY, 44.75389, AngleZ, 90.12766, AngularSpeed, 0
Time, 0.7269798, Position, (-5.85, 0.01, -39.81), Velocity, 3.176347, Acceleration, -912.8098, AngleX, -0.1335825, AngleY, 44.71933, AngleZ, 90.13229, AngularSpeed, 0
Time, 0.8280511, Position, (-5.53, 0.01, -39.50), Velocity, 4.213616, Acceleration, 120.542, AngleX, -0.1561226, AngleY, 44.68543, AngleZ, 90.15442, AngularSpeed, 5.752736
Time, 0.9298944, Position, (-5.20, 0.01, -39.17), Velocity, 4.595458, Acceleration, 300.7217, AngleX, -0.1653444, AngleY, 44.65873, AngleZ, 90.16339, AngularSpeed, 0
Time, 1.030362, Position, (-4.88, 0.01, -38.85), Velocity, 3.697464, Acceleration, -223.2815, AngleX, -0.1950657, AngleY, 44.6263, AngleZ, 90.19254, AngularSpeed, 5.796036
Time, 1.133462, Position, (-4.54, 0.01, -38.51), Velocity, 4.321178, Acceleration, 200.3211, AngleX, -0.2361177, AngleY, 44.59214, AngleZ, 90.23278, AngularSpeed, 6.280373
Time, 1.23503, Position, (-4.20, 0.01, -38.18), Velocity, 3.929934, Acceleration, -164.391, AngleX, -0.276359, AngleY, 44.56602, AngleZ, 90.27221, AngularSpeed, 0
Time, 1.337067, Position, (-3.86, 0.01, -37.83), Velocity, 1.859897, Acceleration, -305.1133, AngleX, -0.3341905, AngleY, 44.5457, AngleZ, 90.32893, AngularSpeed, 2.834218
Time, 1.439147, Position, (-3.51, 0.01, -37.49), Velocity, 4.005766, Acceleration, 53.49007, AngleX, -0.4535497, AngleY, 44.50955, AngleZ, 90.44585, AngularSpeed, 0
Time, 1.541596, Position, (-3.14, 0.01, -37.13), Velocity, 7.429018, Acceleration, 869.6427, AngleX, -0.7017252, AngleY, 44.44382, AngleZ, 90.68823, AngularSpeed, 0
Time, 1.64301, Position, (-2.78, 0.01, -36.78), Velocity, 9.664628, Acceleration, 1618.108, AngleX, -1.604977, AngleY, 44.33373, AngleZ, 91.5681, AngularSpeed, 8.110994
Time, 1.744836, Position, (-2.53, 0.01, -36.36), Velocity, 3.597165, Acceleration, -2055.127, AngleX, -0.02464106, AngleY, 87.17269, AngleZ, 90.49893, AngularSpeed, 0
Time, 1.847482, Position, (-2.46, 0.01, -35.88), Velocity, 4.104443, Acceleration, 126.7716, AngleX, -0.02151529, AngleY, 87.31567, AngleZ, 90.45889, AngularSpeed, 0
Time, 1.94887, Position, (-2.38, 0.01, -35.38), Velocity, 4.233094, Acceleration, 222.1084, AngleX, -0.02357521, AngleY, 87.45687, AngleZ, 90.53078, AngularSpeed, 0
Time, 2.054688, Position, (-2.32, 0.01, -34.86), Velocity, 1.587102, Acceleration, -204.2154, AngleX, -0.02257547, AngleY, 87.56202, AngleZ, 90.53022, AngularSpeed, 0
Time, 2.156085, Position, (-2.27, 0.01, -34.35), Velocity, 4.250017, Acceleration, 119.9457, AngleX, -0.02511847, AngleY, 87.64547, AngleZ, 90.61088, AngularSpeed, 0
Time, 2.257089, Position, (-2.23, 0.01, -33.83), Velocity, 4.003886, Acceleration, -117.2556, AngleX, -0.02423505, AngleY, 87.7038, AngleZ, 90.60438, AngularSpeed, 0
Time, 2.358385, Position, (-2.20, 0.01, -33.30), Velocity, 4.095808, Acceleration, 32.75609, AngleX, -0.02544232, AngleY, 87.74819, AngleZ, 90.647, AngularSpeed, 0
Time, 2.458507, Position, (-2.17, 0.01, -32.77), Velocity, 4.068053, Acceleration, -1.555154, AngleX, -0.02558945, AngleY, 87.78053, AngleZ, 90.66024, AngularSpeed, 0
Time, 2.562208, Position, (-2.14, 0.01, -32.20), Velocity, 10.83848, Acceleration, 1912.715, AngleX, -0.02689932, AngleY, 87.80994, AngleZ, 90.70335, AngularSpeed, 0
Time, 2.665334, Position, (-2.11, 0.01, -31.64), Velocity, 3.681815, Acceleration, -3152.583, AngleX, -0.02896198, AngleY, 87.83653, AngleZ, 90.7666, AngularSpeed, 0
Time, 2.767622, Position, (-2.08, 0.01, -31.08), Velocity, 4.504991, Acceleration, 325.1461, AngleX, -0.03007686, AngleY, 87.85596, AngleZ, 90.80333, AngularSpeed, 0
Time, 2.869301, Position, (-2.06, 0.01, -30.52), Velocity, 4.582229, Acceleration, 294.6217, AngleX, -0.03022839, AngleY, 87.86394, AngleZ, 90.81039, AngularSpeed, 0
Time, 2.969615, Position, (-2.04, 0.01, -29.96), Velocity, 4.653683, Acceleration, 310.3368, AngleX, -0.03164795, AngleY, 87.86266, AngleZ, 90.84793, AngularSpeed, 0
Time, 3.069782, Position, (-2.02, 0.01, -29.40), Velocity, 4.347067, Acceleration, -99.26342, AngleX, -0.03527277, AngleY, 87.86551, AngleZ, 90.9463, AngularSpeed, 0
Time, 3.17111, Position, (-2.00, 0.01, -28.82), Velocity, 4.347984, Acceleration, -1.276855, AngleX, -0.03654412, AngleY, 87.86579, AngleZ, 90.98053, AngularSpeed, 0
Time, 3.273753, Position, (-1.97, 0.01, -28.23), Velocity, 3.825388, Acceleration, -105.5491, AngleX, -0.03547696, AngleY, 87.86855, AngleZ, 90.95313, AngularSpeed, 0
Time, 3.374522, Position, (-1.95, 0.01, -27.64), Velocity, 3.977093, Acceleration, -51.57359, AngleX, -0.03506362, AngleY, 87.86973, AngleZ, 90.94255, AngularSpeed, 0
