Time, 0.1033782, Position, (-7.70, 0.01, -41.70), Velocity, 4.066652, Acceleration, 39.33762, AngleX, 1.034159, AngleY, 45.32215, AngleZ, 88.95415, AngularSpeed, 3.061747
Time, 0.2058098, Position, (-7.40, 0.01, -41.40), Velocity, 4.19222, Acceleration, 1.225875, AngleX, 0.431562, AngleY, 45.43716, AngleZ, 89.56181, AngularSpeed, 3.208477
Time, 0.3058523, Position, (-7.11, 0.01, -41.09), Velocity, 4.237823, Acceleration, 0.4558343, AngleX, 0.03836875, AngleY, 45.34057, AngleZ, 89.96117, AngularSpeed, 3.302904
Time, 0.4066253, Position, (-6.80, 0.01, -40.79), Velocity, 4.316098, Acceleration, 0.776743, AngleX, 0.04860198, AngleY, 44.97282, AngleZ, 89.95145, AngularSpeed, 3.450749
Time, 0.5100754, Position, (-6.48, 0.01, -40.46), Velocity, 4.39248, Acceleration, 0.7383479, AngleX, -0.02397564, AngleY, 44.98384, AngleZ, 90.02396, AngularSpeed, 3.56728
Time, 0.6107207, Position, (-6.16, 0.01, -40.15), Velocity, 4.496306, Acceleration, 1.031603, AngleX, -0.02089143, AngleY, 44.98425, AngleZ, 90.02088, AngularSpeed, 3.724193
Time, 0.7107836, Position, (-5.83, 0.01, -39.82), Velocity, 4.555472, Acceleration, 0.5912924, AngleX, -0.1092427, AngleY, 44.92342, AngleZ, 90.10896, AngularSpeed, 3.843716
Time, 0.8109841, Position, (-5.51, 0.01, -39.49), Velocity, 4.639063, Acceleration, 0.8342374, AngleX, 0.09443037, AngleY, 45.14463, AngleZ, 89.90509, AngularSpeed, 3.96334
Time, 0.9111885, Position, (-5.17, 0.01, -39.16), Velocity, 4.698405, Acceleration, 0.5922086, AngleX, 0.102846, AngleY, 44.73381, AngleZ, 89.8981, AngularSpeed, 4.131701
Time, 1.012819, Position, (-4.83, 0.01, -38.82), Velocity, 4.790722, Acceleration, 0.9083586, AngleX, -0.06260452, AngleY, 44.89362, AngleZ, 90.06238, AngularSpeed, 4.282295
Time, 1.113205, Position, (-4.48, 0.01, -38.47), Velocity, 4.875576, Acceleration, 0.8452698, AngleX, 0.01727371, AngleY, 44.91968, AngleZ, 89.98278, AngularSpeed, 4.437211
Time, 1.215083, Position, (-4.12, 0.01, -38.12), Velocity, 4.937145, Acceleration, 0.6043505, AngleX, -0.04304788, AngleY, 44.95395, AngleZ, 90.04298, AngularSpeed, 4.582774
Time, 1.31784, Position, (-3.76, 0.01, -37.75), Velocity, 5.005523, Acceleration, 0.6654316, AngleX, -0.0110298, AngleY, 44.92214, AngleZ, 90.011, AngularSpeed, 4.746986
Time, 1.420416, Position, (-3.37, 0.01, -37.37), Velocity, 5.320478, Acceleration, 3.070449, AngleX, 0.05330508, AngleY, 44.93715, AngleZ, 89.94681, AngularSpeed, 5.156867
Time, 1.520935, Position, (-3.00, 0.01, -37.00), Velocity, 5.236277, Acceleration, -0.8376646, AngleX, 0.05562032, AngleY, 44.86044, AngleZ, 89.94465, AngularSpeed, 5.192033
Time, 1.623983, Position, (-2.61, 0.01, -36.61), Velocity, 5.302659, Acceleration, 0.6441794, AngleX, -0.2880192, AngleY, 44.88727, AngleZ, 90.2869, AngularSpeed, 5.378662
Time, 1.724591, Position, (-2.47, 0.01, -36.12), Velocity, 5.1113, Acceleration, -1.902015, AngleX, 0.5415241, AngleY, 73.34879, AngleZ, 88.18996, AngularSpeed, 1.758684
Time, 1.82469, Position, (-2.40, 0.01, -35.61), Velocity, 5.119942, Acceleration, 0.0863419, AngleX, -0.4343694, AngleY, 82.49036, AngleZ, 93.29151, AngularSpeed, 0.4840908
Time, 1.926895, Position, (-2.35, 0.01, -35.08), Velocity, 5.204282, Acceleration, 0.8251935, AngleX, 0.1149437, AngleY, 84.35065, AngleZ, 88.83818, AngularSpeed, 0.2737265
Time, 2.029714, Position, (-2.31, 0.01, -34.54), Velocity, 5.275447, Acceleration, 0.6921491, AngleX, -0.03918488, AngleY, 86.21529, AngleZ, 90.59232, AngularSpeed, 0
Time, 2.13209, Position, (-2.28, 0.01, -33.99), Velocity, 5.411597, Acceleration, 1.329887, AngleX, -0.01127566, AngleY, 86.82179, AngleZ, 90.20306, AngularSpeed, 0
Time, 2.232838, Position, (-2.25, 0.01, -33.43), Velocity, 5.500211, Acceleration, 0.8795712, AngleX, 0.06826106, AngleY, 87.02174, AngleZ, 88.6882, AngularSpeed, 0
Time, 2.333477, Position, (-2.22, 0.01, -32.87), Velocity, 5.604643, Acceleration, 1.037684, AngleX, -0.007056678, AngleY, 87.13872, AngleZ, 90.14119, AngularSpeed, 0.2779879
Time, 2.434154, Position, (-2.20, 0.01, -32.30), Velocity, 5.696443, Acceleration, 0.911822, AngleX, 0.03663797, AngleY, 87.45637, AngleZ, 89.17532, AngularSpeed, 0.2778826
Time, 2.534624, Position, (-2.17, 0.01, -31.72), Velocity, 5.760839, Acceleration, 0.6409525, AngleX, -0.05902351, AngleY, 87.60192, AngleZ, 91.4091, AngularSpeed, 0.2784563
Time, 2.637342, Position, (-2.15, 0.01, -31.13), Velocity, 5.782892, Acceleration, 0.2146916, AngleX, 0.007971553, AngleY, 87.60152, AngleZ, 89.80968, AngularSpeed, 0.2723608
Time, 2.738837, Position, (-2.12, 0.01, -30.53), Velocity, 5.885408, Acceleration, 1.010059, AngleX, 0.00226152, AngleY, 87.59541, AngleZ, 89.94614, AngularSpeed, 0.3375923
Time, 2.839665, Position, (-2.10, 0.01, -29.93), Velocity, 5.997522, Acceleration, 1.111941, AngleX, 0.01370941, AngleY, 87.63731, AngleZ, 89.66773, AngularSpeed, 0.277468
Time, 2.941464, Position, (-2.07, 0.01, -29.27), Velocity, 6.460644, Acceleration, 4.549392, AngleX, 0.02324242, AngleY, 87.55914, AngleZ, 89.45477, AngularSpeed, 0.2748218
Time, 3.042339, Position, (-2.04, 0.01, -28.65), Velocity, 6.163571, Acceleration, -2.944963, AngleX, -0.1816637, AngleY, 87.63697, AngleZ, 94.39363, AngularSpeed, 0.3922153
Time, 3.144148, Position, (-2.02, 0.01, -28.02), Velocity, 6.2039, Acceleration, 0.3961219, AngleX, 0.05945231, AngleY, 87.66272, AngleZ, 88.54372, AngularSpeed, 0.4344846
Time, 3.245691, Position, (-1.99, 0.01, -27.38), Velocity, 6.284177, Acceleration, 0.7905715, AngleX, -0.0128963, AngleY, 87.66645, AngleZ, 90.31647, AngularSpeed, 0.4356251
Time, 3.345743, Position, (-1.97, 0.01, -26.74), Velocity, 6.4094, Acceleration, 1.25158, AngleX, 0.03335707, AngleY, 87.6632, AngleZ, 89.18262, AngularSpeed, 0.3954426
Time, 3.446476, Position, (-1.94, 0.01, -26.09), Velocity, 6.434424, Acceleration, 0.2484231, AngleX, 0.05614245, AngleY, 87.62511, AngleZ, 88.64655, AngularSpeed, 0.4810402
Time, 3.548179, Position, (-1.91, 0.01, -25.43), Velocity, 6.50453, Acceleration, 0.6893231, AngleX, -0.05059417, AngleY, 87.71156, AngleZ, 91.26585, AngularSpeed, 0.4764505
Time, 3.649567, Position, (-1.88, 0.01, -24.76), Velocity, 6.590027, Acceleration, 0.8432647, AngleX, 0.01505963, AngleY, 87.5402, AngleZ, 89.64944, AngularSpeed, 0.4779328
Time, 3.75068, Position, (-1.86, 0.01, -24.09), Velocity, 6.667387, Acceleration, 0.7650808, AngleX, 0.01138352, AngleY, 87.60007, AngleZ, 89.72839, AngularSpeed, 0.5176299
